d1,z1,d2,z2,d3,z3,d4,z4,d5,z5,d6,z6,d7,z7,d8,z8,d9,z9,d10,z10,d11,z11,d12,z12,d13,z13,d14,z14,d15,z15
125.834081027331,253.789993286132,129.774017997359,254.289993286132,134.76812618345,253.58999633789,133.671482256018,254.77000427246,129.292068912069,256.799987792968,125.018349750588,258.820007324218,121.071199012245,260.480010986328,117.850257480298,262.100006103515,114.533497519398,263.220001220703,111.756357877532,263.470001220703,109.412565775492,264.399993896484,107.354114225897,264.899993896484,105.520444502778,265.890014648437,103.723067198463,266.380004882812,101.995379059724,266.869995117187
130.028550394909,252.460006713867,134.099818597271,253.419998168945,139.260397056232,252.720001220703,138.127198331218,253.990005493164,133.601804542471,255.960006713867,129.185628075608,258.640014648437,125.106905645986,259.450012207031,121.778599396308,261.059997558593,118.351280770044,262.679992675781,115.481569806783,263.179992675781,113.059651301342,263.459991455078,110.932584700094,264.440002441406,109.037792652871,264.940002441406,107.180502771745,265.929992675781,105.395225028381,266.420013427734
134.223019762487,251.460006713867,138.425619197183,252.490005493164,143.752667929014,251.75,142.582914406419,253.160003662109,137.911540172874,255.990005493164,133.352906400628,257.609985351562,129.142612279728,259.220001220703,125.706941312318,260.83999633789,122.169064020691,261.640014648437,119.206781736034,262.640014648437,116.706736827192,263.140014648437,114.511055174291,263.5,112.555140802963,264.480010986328,110.637938345027,265.470001220703,108.795070997039,265.970001220703
138.417489130064,250.490005493164,142.751419797095,251.52000427246,148.244938801795,250.77000427246,147.03863048162,252.190002441406,142.221275803276,255.210006713867,137.520184725647,256.820007324218,133.178318913469,258.420013427734,129.635283228328,260.029998779296,125.986847271338,261.5,122.931993665286,262.350006103515,120.353822353042,262.600006103515,118.089525648487,263.100006103515,116.072488953056,263.540008544921,114.095373918309,264.519989013671,112.194916965696,265.019989013671
142.611958497642,249.690002441406,147.077220397007,250.330001831054,152.737209674577,249.800003051757,151.49434655682,251.289993286132,146.531011433678,254.429992675781,141.687463050667,256.040008544921,137.214025547211,257.660003662109,133.563625144338,259.260009765625,129.804630521984,260.540008544921,126.657205594537,261.369995117187,124.000907878891,262.220001220703,121.667996122684,262.559997558593,119.589837103149,263.079986572265,117.552809491591,264.070007324218,115.594762934354,264.559997558593
146.80642786522,248.83999633789,151.403020996919,249.360000610351,157.229480547359,248.940002441406,155.950062632021,250.479995727539,150.840747064081,253.820007324218,145.854741375687,255.440002441406,141.249732180952,256.980010986328,137.491967060347,259.019989013671,133.622413772631,260.040008544921,130.382417523788,260.429992675781,127.647993404741,261.209991455078,125.24646659688,262.08999633789,123.107185253241,262.760009765625,121.010245064873,263.119995117187,118.994608903011,264.109985351562
151.000897232798,247.940002441406,155.728821596831,248.380004882812,161.72175142014,248.130004882812,160.405778707221,249.679992675781,155.150482694483,253,150.022019700706,254.919998168945,145.285438814694,257.220001220703,141.420308976357,257.859985351562,137.440197023278,259.049987792968,134.107629453039,259.880004882812,131.295078930591,260.660003662109,128.824937071077,261.079986572265,126.624533403334,261.959991455078,124.467680638155,262.720001220703,122.394454871669,263.160003662109
155.195366600375,246.970001220703,160.054622196743,247.410003662109,166.214022292922,247.330001831054,164.861494782422,248.880004882812,159.460218324885,252.190002441406,154.189298025726,255.160003662109,149.321145448435,256.690002441406,145.348650892367,257.149993896484,141.257980273924,257.899993896484,137.83284138229,258.859985351562,134.942164456441,259.720001220703,132.403407545274,260.510009765625,130.141881553427,261.390014648437,127.925116211438,262.269989013671,125.794300840326,262.709991455078
159.389835967953,245.77000427246,164.380422796655,246.580001831054,170.706293165704,246.52000427246,169.317210857623,248.070007324218,163.769953955288,251.380004882812,158.356576350746,254.389999389648,153.356852082177,256.109985351562,149.276992808377,256.450012207031,145.075763524571,257.230010986328,141.558053311541,258.190002441406,138.58924998229,258.670013427734,135.98187801947,259.950012207031,133.659229703519,260.380004882812,131.38255178472,261.260009765625,129.194146808984,261.920013427734
163.584305335531,244.800003051757,168.706223396567,245.779998779296,175.198564038485,245.809997558593,173.772926932823,247.330001831054,168.07968958569,250.559997558593,162.523854675765,253.52000427246,157.392558715919,255.289993286132,153.205334724387,255.759994506835,148.893546775217,256.190002441406,145.283265240792,257.049987792968,142.23633550814,258,139.560348493667,258.959991455078,137.176577853612,259.809997558593,134.839987358002,260.640014648437,132.593992777641,260.880004882812
